id,category_id,category,question_id,question,type,difficulty,age,players,action
01-01,1,Хий эсвэл уу,1,20 секунд бүжиглэ.,challenge,Easy,18+,2-10,do
01-02,1,Хий эсвэл уу,2,Хажуугийн тоглогчийг 30 секунд дуурай.,challenge,Medium,18+,2-10,do
01-03,1,Хий эсвэл уу,3,Хамгийн муу pickup line-аа хэл.,challenge,Hard,18+,2-10,do
01-04,1,Хий эсвэл уу,4,Нэг тоглогчид 3 compliment хэл.,challenge,Very Hard,18+,2-10,do
01-05,1,Хий эсвэл уу,5,30 секунд робот шиг ярь.,challenge,Extreme,18+,2-10,do
01-06,1,Хий эсвэл уу,6,Дуртай дууныхаа хэсгийг дуул.,challenge,Easy,18+,2-10,do
01-07,1,Хий эсвэл уу,7,20 секунд инээдтэй алх.,challenge,Medium,18+,2-10,do
01-08,1,Хий эсвэл уу,8,Өөрийн хамгийн хөгжилтэй явдлаа ярь.,challenge,Hard,18+,2-10,do
01-09,1,Хий эсвэл уу,9,Нэг тоглогчийн pose-ийг давт.,challenge,Very Hard,18+,2-10,do
01-10,1,Хий эсвэл уу,10,10 секунд eye contact хий.,challenge,Extreme,18+,2-10,do
01-11,1,Хий эсвэл уу,11,Өөрийн нэг red flag-ийг хэл.,challenge,Easy,18+,2-10,do
01-12,1,Хий эсвэл уу,12,Өөрийн нэг green flag-ийг хэл.,challenge,Medium,18+,2-10,do
01-13,1,Хий эсвэл уу,13,Нэг celebrity дуурай.,challenge,Hard,18+,2-10,do
01-14,1,Хий эсвэл уу,14,Нэг киноны дүрийг жүжиглэ.,challenge,Very Hard,18+,2-10,do
01-15,1,Хий эсвэл уу,15,2 мөр rap зохио.,challenge,Extreme,18+,2-10,do
01-16,1,Хий эсвэл уу,16,Нэг тоглогчийг инээлгэ.,challenge,Easy,18+,2-10,do
01-17,1,Хий эсвэл уу,17,Өөрийгөө celebrity гэж төсөөлөөд ярь.,challenge,Medium,18+,2-10,do
01-18,1,Хий эсвэл уу,18,Хамгийн хөгийн selfie pose хий.,challenge,Hard,18+,2-10,do
01-19,1,Хий эсвэл уу,19,Нэг тоглогчийг магтаж сурталчилгаа хий.,challenge,Very Hard,18+,2-10,do
01-20,1,Хий эсвэл уу,20,Нэг үг хэлэлгүйгээр нэг зүйл тайлбарла.,challenge,Extreme,18+,2-10,do
01-21,1,Хий эсвэл уу,21,Өөрийн хамгийн сонин зуршлыг хэл.,challenge,Easy,18+,2-10,do
01-22,1,Хий эсвэл уу,22,5 секундэд 3 дуу нэрлэ.,challenge,Medium,18+,2-10,do
01-23,1,Хий эсвэл уу,23,Нэг тоглогчийн инээдийг дуурай.,challenge,Hard,18+,2-10,do
01-24,1,Хий эсвэл уу,24,30 секунд өөр аялгаар ярь.,challenge,Very Hard,18+,2-10,do
01-25,1,Хий эсвэл уу,25,Нэг joke ярь.,challenge,Extreme,18+,2-10,do
01-26,1,Хий эсвэл уу,26,Нэг тоглогчид nickname өг.,challenge,Easy,18+,2-10,do
01-27,1,Хий эсвэл уу,27,Нэг бүтээгдэхүүн 20 секунд сурталчил.,challenge,Medium,18+,2-10,do
01-28,1,Хий эсвэл уу,28,Өөрийн хамгийн сайн чадвараа үзүүл.,challenge,Hard,18+,2-10,do
01-29,1,Хий эсвэл уу,29,Бүгдээс нэг хүнийг сонгоод challenge өг.,challenge,Very Hard,18+,2-10,do
01-30,1,Хий эсвэл уу,30,Хийхгүй бол тоглоомын шийтгэл ав.,challenge,Extreme,18+,2-10,do
